Address,Signal Name,Type,Module,Description
# ============================================================================
# AOI System I/O Mapping - CC-Link IE Field Remote I/O
# Station 1: RJ71GN11-T2 (Master) -> NZ2GN2S-60MBS (Slave modules)
# ============================================================================
#
# --- DIGITAL INPUTS: Part Presence Sensors (Photoeyes) ---
X000,BASKET_PRESENT,DI,Station1-Slot0,Photoeye at basket infeed magazine
X001,CSE_LOADER_HOME,DI,Station1-Slot0,Prox sensor - CSE loader at home position
X002,PITCH_SETTLED,DI,Station1-Slot0,Mechanical lock confirm for pitch change stage
X003,PART_ON_CCD4,DI,Station1-Slot0,Vacuum sensor - part seated at CCD4 station
X004,PART_ON_CCD3,DI,Station1-Slot0,Vacuum sensor - part seated at CCD3 station
X005,PART_ON_CCD1,DI,Station1-Slot0,Vacuum sensor - part seated at CCD1 station
X006,PART_ON_CCD2,DI,Station1-Slot0,Vacuum sensor - part seated at CCD2 station
X007,UNLOAD_CHUTE_CLEAR,DI,Station1-Slot0,Photoeye - unload chute not blocked
#
# --- DIGITAL INPUTS: Servo Drive Status (via CC-Link IE Field cyclic) ---
X010,SERVO1_READY,DI,Station2-Slot0,Transfer 1 drive ready (MR-J5-G)
X011,SERVO1_IN_POS,DI,Station2-Slot0,Transfer 1 in-position complete
X012,SERVO1_ALARM,DI,Station2-Slot0,Transfer 1 alarm active
X013,SERVO1_HOME_DONE,DI,Station2-Slot0,Transfer 1 homing complete
X014,SERVO2_READY,DI,Station2-Slot0,Transfer 2 drive ready
X015,SERVO2_IN_POS,DI,Station2-Slot0,Transfer 2 in-position complete
X016,SERVO2_ALARM,DI,Station2-Slot0,Transfer 2 alarm active
X017,SERVO2_HOME_DONE,DI,Station2-Slot0,Transfer 2 homing complete
X020,SERVO3_READY,DI,Station2-Slot1,Transfer 3 drive ready
X021,SERVO3_IN_POS,DI,Station2-Slot1,Transfer 3 in-position complete
X022,SERVO3_ALARM,DI,Station2-Slot1,Transfer 3 alarm active
X023,SERVO3_HOME_DONE,DI,Station2-Slot1,Transfer 3 homing complete
X024,SERVO4_READY,DI,Station2-Slot1,Transfer 4 drive ready
X025,SERVO4_IN_POS,DI,Station2-Slot1,Transfer 4 in-position complete
X026,SERVO4_ALARM,DI,Station2-Slot1,Transfer 4 alarm active
X027,SERVO4_HOME_DONE,DI,Station2-Slot1,Transfer 4 homing complete
X030,SERVO5_READY,DI,Station3-Slot0,Transfer 5 drive ready
X031,SERVO5_IN_POS,DI,Station3-Slot0,Transfer 5 in-position complete
X032,SERVO5_ALARM,DI,Station3-Slot0,Transfer 5 alarm active
X033,SERVO5_HOME_DONE,DI,Station3-Slot0,Transfer 5 homing complete
X034,SERVO6_READY,DI,Station3-Slot0,Transfer 6 drive ready
X035,SERVO6_IN_POS,DI,Station3-Slot0,Transfer 6 in-position complete
X036,SERVO6_ALARM,DI,Station3-Slot0,Transfer 6 alarm active
X037,SERVO6_HOME_DONE,DI,Station3-Slot0,Transfer 6 homing complete
X040,SERVO7_READY,DI,Station3-Slot1,Orientation comp axis ready
X041,SERVO7_IN_POS,DI,Station3-Slot1,Orientation comp in-position
X042,SERVO7_ALARM,DI,Station3-Slot1,Orientation comp alarm
X043,SERVO7_HOME_DONE,DI,Station3-Slot1,Orientation comp homing complete
X044,SERVO8_READY,DI,Station3-Slot1,Side-check rotation axis ready
X045,SERVO8_IN_POS,DI,Station3-Slot1,Side-check rotation in-position
X046,SERVO8_ALARM,DI,Station3-Slot1,Side-check rotation alarm
X047,SERVO8_HOME_DONE,DI,Station3-Slot1,Side-check rotation homing complete
#
# --- DIGITAL INPUTS: Limit Switches & Mechanical Sensors ---
X050,TRANSFER1_FWD_LIMIT,DI,Station4-Slot0,Transfer 1 forward overtravel limit
X051,TRANSFER1_REV_LIMIT,DI,Station4-Slot0,Transfer 1 reverse overtravel limit
X052,TRANSFER2_FWD_LIMIT,DI,Station4-Slot0,Transfer 2 forward overtravel limit
X053,TRANSFER2_REV_LIMIT,DI,Station4-Slot0,Transfer 2 reverse overtravel limit
X054,TRANSFER3_FWD_LIMIT,DI,Station4-Slot0,Transfer 3 forward overtravel limit
X055,TRANSFER3_REV_LIMIT,DI,Station4-Slot0,Transfer 3 reverse overtravel limit
X056,TRANSFER4_FWD_LIMIT,DI,Station4-Slot0,Transfer 4 forward overtravel limit
X057,TRANSFER4_REV_LIMIT,DI,Station4-Slot0,Transfer 4 reverse overtravel limit
X060,TRANSFER5_FWD_LIMIT,DI,Station4-Slot1,Transfer 5 forward overtravel limit
X061,TRANSFER5_REV_LIMIT,DI,Station4-Slot1,Transfer 5 reverse overtravel limit
X062,TRANSFER6_FWD_LIMIT,DI,Station4-Slot1,Transfer 6 forward overtravel limit
X063,TRANSFER6_REV_LIMIT,DI,Station4-Slot1,Transfer 6 reverse overtravel limit
X064,ORIENT_CW_LIMIT,DI,Station4-Slot1,Orientation axis CW soft limit
X065,ORIENT_CCW_LIMIT,DI,Station4-Slot1,Orientation axis CCW soft limit
X066,SIDECHECK_INDEX,DI,Station4-Slot1,Side-check rotation index pulse
X067,BASKET_MAGAZINE_LOW,DI,Station4-Slot1,Basket magazine low-level sensor
#
# --- DIGITAL INPUTS: Pneumatic Cylinder Position Feedback ---
X070,BASKET_CLAMP_EXTENDED,DI,Station5-Slot0,Basket clamp cylinder extended confirm
X071,BASKET_CLAMP_RETRACTED,DI,Station5-Slot0,Basket clamp cylinder retracted confirm
